EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 17-07-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 SD   : Snow depth in 1 cm
30-34 Q_SD : quality code for SD (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GRAZ-UNIVERSITAET, AUSTRIA (STAID: 12)
Blended and updated with sources:32849 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   SD, Q_SD
    12, 32849,20060402,    0,    0
    12, 32849,20060403,    0,    0
    12, 32849,20060404,    0,    0
    12, 32849,20060405,    0,    0
    12, 32849,20060406,    0,    0
    12, 32849,20060407,    0,    0
    12, 32849,20060408,    0,    0
    12, 32849,20060409,    0,    0
    12, 32849,20060410,    0,    0
    12, 32849,20060411,    0,    0
    12, 32849,20060412,    0,    0
    12, 32849,20060413,    0,    0
    12, 32849,20060414,    0,    0
    12, 32849,20060415,    0,    0
    12, 32849,20060416,    0,    0
    12, 32849,20060417,    0,    0
    12, 32849,20060418,    0,    0
    12, 32849,20060419,    0,    0
    12, 32849,20060420,    0,    0
    12, 32849,20060421,    0,    0
    12, 32849,20060422,    0,    0
    12, 32849,20060423,    0,    0
    12, 32849,20060424,    0,    0
    12, 32849,20060425,    0,    0
    12, 32849,20060426,    0,    0
    12, 32849,20060427,    0,    0
    12, 32849,20060428,    0,    0
    12, 32849,20060429,    0,    0
    12, 32849,20060430,    0,    0
    12, 32849,20060501,    0,    0
    12, 32849,20060502,    0,    0
    12, 32849,20060503,    0,    0
    12, 32849,20060504,    0,    0
    12, 32849,20060505,    0,    0
    12, 32849,20060506,    0,    0
    12, 32849,20060507,    0,    0
    12, 32849,20060508,    0,    0
    12, 32849,20060509,    0,    0
    12, 32849,20060510,    0,    0
    12, 32849,20060511,    0,    0
    12, 32849,20060512,    0,    0
    12, 32849,20060513,    0,    0
    12, 32849,20060514,    0,    0
    12, 32849,20060515,    0,    0
    12, 32849,20060516,    0,    0
    12, 32849,20060517,    0,    0
    12, 32849,20060518,    0,    0
    12, 32849,20060519,    0,    0
    12, 32849,20060520,    0,    0
    12, 32849,20060521,    0,    0
    12, 32849,20060522,    0,    0
    12, 32849,20060523,    0,    0
    12, 32849,20060524,    0,    0
    12, 32849,20060525,    0,    0
    12, 32849,20060526,    0,    0
    12, 32849,20060527,    0,    0
    12, 32849,20060528,    0,    0
    12, 32849,20060529,    0,    0
    12, 32849,20060530,    0,    0
    12, 32849,20060531,    0,    0
    12, 32849,20060601,    0,    0
    12, 32849,20060602,    0,    0
    12, 32849,20060603,    0,    0
    12, 32849,20060604,    0,    0
    12, 32849,20060605,    0,    0
    12, 32849,20060606,    0,    0
    12, 32849,20060607,    0,    0
    12, 32849,20060608,    0,    0
    12, 32849,20060609,    0,    0
    12, 32849,20060610,    0,    0
    12, 32849,20060611,    0,    0
    12, 32849,20060612,    0,    0
    12, 32849,20060613,    0,    0
    12, 32849,20060614,    0,    0
    12, 32849,20060615,    0,    0
    12, 32849,20060616,    0,    0
    12, 32849,20060617,    0,    0
    12, 32849,20060618,    0,    0
    12, 32849,20060619,    0,    0
    12, 32849,20060620,    0,    0
    12, 32849,20060621,    0,    0
    12, 32849,20060622,    0,    0
    12, 32849,20060623,    0,    0
    12, 32849,20060624,    0,    0
    12, 32849,20060625,    0,    0
    12, 32849,20060626,    0,    0
    12, 32849,20060627,    0,    0
    12, 32849,20060628,    0,    0
    12, 32849,20060629,    0,    0
    12, 32849,20060630,    0,    0
    12, 32849,20060701,    0,    0
    12, 32849,20060702,    0,    0
    12, 32849,20060703,    0,    0
    12, 32849,20060704,    0,    0
    12, 32849,20060705,    0,    0
    12, 32849,20060706,    0,    0
    12, 32849,20060707,    0,    0
    12, 32849,20060708,    0,    0
    12, 32849,20060709,    0,    0
    12, 32849,20060710,    0,    0
    12, 32849,20060711,    0,    0
    12, 32849,20060712,    0,    0
    12, 32849,20060713,    0,    0
    12, 32849,20060714,    0,    0
    12, 32849,20060715,    0,    0
    12, 32849,20060716,    0,    0
    12, 32849,20060717,    0,    0
    12, 32849,20060718,    0,    0
    12, 32849,20060719,    0,    0
    12, 32849,20060720,    0,    0
    12, 32849,20060721,    0,    0
    12, 32849,20060722,    0,    0
    12, 32849,20060723,    0,    0
    12, 32849,20060724,    0,    0
    12, 32849,20060725,    0,    0
    12, 32849,20060726,    0,    0
    12, 32849,20060727,    0,    0
    12, 32849,20060728,    0,    0
    12, 32849,20060729,    0,    0
    12, 32849,20060730,    0,    0
    12, 32849,20060731,    0,    0
    12, 32849,20060801,    0,    0
    12, 32849,20060802,    0,    0
    12, 32849,20060803,    0,    0
    12, 32849,20060804,    0,    0
    12, 32849,20060805,    0,    0
    12, 32849,20060806,    0,    0
    12, 32849,20060807,    0,    0
    12, 32849,20060808,    0,    0
    12, 32849,20060809,    0,    0
    12, 32849,20060810,    0,    0
    12, 32849,20060811,    0,    0
    12, 32849,20060812,    0,    0
    12, 32849,20060813,    0,    0
    12, 32849,20060814,    0,    0
    12, 32849,20060815,    0,    0
    12, 32849,20060816,    0,    0
    12, 32849,20060817,    0,    0
    12, 32849,20060818,    0,    0
    12, 32849,20060819,    0,    0
    12, 32849,20060820,    0,    0
    12, 32849,20060821,    0,    0
    12, 32849,20060822,    0,    0
    12, 32849,20060823,    0,    0
    12, 32849,20060824,    0,    0
    12, 32849,20060825,    0,    0
    12, 32849,20060826,    0,    0
    12, 32849,20060827,    0,    0
    12, 32849,20060828,    0,    0
    12, 32849,20060829,    0,    0
